point_id,x1_il_wt_pct,x2_protein_mg_ml,ci,y2_crystalline,y1_rg_angstrom,r2_w,source_ml_targets_data_row_1based,raw_dat_filename,raw_dat_path,raw_dat_exists,source_cleaned_csv,source_ml_targets_csv,source_ml_targets_xlsx
1,0.0,2.5,0.0,0,14.8,0.98,1,Buf_2.5mg.dat,selected_for_ML\Buf_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
2,0.0,5.0,0.0,0,17.7,1.0,2,Buf_5mg.dat,selected_for_ML\Buf_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
3,0.0,25.0,0.0,0,18.5,0.99,3,Buf_25mgb.dat,selected_for_ML\Buf_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
4,0.0,37.5,0.0,0,18.9,0.99,4,Buf_37.5mg.dat,selected_for_ML\Buf_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
5,0.0,40.0,0.0,0,19.1,0.99,5,Buf_40mg.dat,selected_for_ML\Buf_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
6,0.0,50.0,0.0,0,19.1,0.99,6,Buf_50mg.dat,selected_for_ML\Buf_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
7,0.0,60.0,0.0,0,19.3,0.99,7,Buf_60mg.dat,selected_for_ML\Buf_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
8,0.0,75.0,0.0,0,19.2,0.99,8,Buf_75mg.dat,selected_for_ML\Buf_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
9,0.0,100.0,0.0,0,20.6,0.97,9,Buf_100mg.dat,selected_for_ML\Buf_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
10,1.5,2.5,0.098468469,1,15.2,0.99,10,EAN1.5_2.5mg.dat,selected_for_ML\EAN1.5_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
11,1.5,5.0,0.0,0,16.4,1.0,11,EAN1.5_5mg.dat,selected_for_ML\EAN1.5_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
12,1.5,25.0,0.0,0,17.5,1.0,12,EAN1.5_25mgb.dat,selected_for_ML\EAN1.5_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
13,1.5,37.5,0.0,0,17.6,1.0,13,EAN1.5_37.5mg.dat,selected_for_ML\EAN1.5_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
14,1.5,40.0,0.0,0,19.5,0.99,14,EAN1.5_40mg.dat,selected_for_ML\EAN1.5_40mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
15,1.5,50.0,0.181616492,1,19.6,0.99,15,EAN1.5_50mg.dat,selected_for_ML\EAN1.5_50mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
16,1.5,60.0,0.205156624,1,19.9,0.99,16,EAN1.5_60mg.dat,selected_for_ML\EAN1.5_60mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
17,1.5,75.0,0.195690477,1,19.7,0.99,17,EAN1.5_75mg.dat,selected_for_ML\EAN1.5_75mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
18,1.5,100.0,0.433160233,1,20.5,0.99,18,EAN1.5_100mg.dat,selected_for_ML\EAN1.5_100mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
19,5.7,2.5,0.0,0,16.0,1.0,19,EAN5.7_2.5mg.dat,selected_for_ML\EAN5.7_2.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
20,5.7,5.0,0.684617962,1,19.6,0.96,20,EAN5.7_5mg.dat,selected_for_ML\EAN5.7_5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
21,5.7,25.0,0.487795529,1,19.0,0.99,21,EAN5.7_25mgb.dat,selected_for_ML\EAN5.7_25mgb.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
22,5.7,37.5,0.551578449,1,19.7,0.99,22,EAN5.7_37.5mg.dat,selected_for_ML\EAN5.7_37.5mg.dat,True,data\curated_descriptor_dataset_n96.csv,data\source_descriptor_table_v3_n99.csv,data\source_descriptor_table_v3_n99.csv
