point_id,x1_il_wt_pct,x2_protein_mg_ml,ci,y1_rg_angstrom,y2_crystalline,r2_w,source_ml_targets_data_row_1based,raw_dat_filename,raw_dat_path
15,1.5,50.0,0.181616492,19.6,1,0.99,15,EAN1.5_50mg.dat,selected_for_ML\EAN1.5_50mg.dat
16,1.5,60.0,0.205156624,19.9,1,0.99,16,EAN1.5_60mg.dat,selected_for_ML\EAN1.5_60mg.dat
17,1.5,75.0,0.195690477,19.7,1,0.99,17,EAN1.5_75mg.dat,selected_for_ML\EAN1.5_75mg.dat
18,1.5,100.0,0.433160233,20.5,1,0.99,18,EAN1.5_100mg.dat,selected_for_ML\EAN1.5_100mg.dat
20,5.7,5.0,0.684617962,19.6,1,0.96,20,EAN5.7_5mg.dat,selected_for_ML\EAN5.7_5mg.dat
21,5.7,25.0,0.487795529,19.0,1,0.99,21,EAN5.7_25mgb.dat,selected_for_ML\EAN5.7_25mgb.dat
22,5.7,37.5,0.551578449,19.7,1,0.99,22,EAN5.7_37.5mg.dat,selected_for_ML\EAN5.7_37.5mg.dat
23,5.7,40.0,0.774115889,20.4,1,0.96,23,EAN5.7_40mg.dat,selected_for_ML\EAN5.7_40mg.dat
24,5.7,50.0,0.795790646,20.4,1,0.96,24,EAN5.7_50mg.dat,selected_for_ML\EAN5.7_50mg.dat
25,5.7,60.0,0.789365184,20.8,1,0.95,25,EAN5.7_60mg.dat,selected_for_ML\EAN5.7_60mg.dat
26,5.7,75.0,0.883487954,22.0,1,0.95,26,EAN5.7_75mg.dat,selected_for_ML\EAN5.7_75mg.dat
27,5.7,100.0,0.98307479,20.6,1,0.96,27,EAN5.7_100mg.dat,selected_for_ML\EAN5.7_100mg.dat
29,12.0,5.0,0.562226139,18.1,1,0.98,29,EAN12_5mg.dat,selected_for_ML\EAN12_5mg.dat
30,12.0,25.0,0.562710804,19.3,1,0.98,30,EAN12_25mgb.dat,selected_for_ML\EAN12_25mgb.dat
31,12.0,37.5,0.640791199,19.7,1,0.99,31,EAN12_37.5mg.dat,selected_for_ML\EAN12_37.5mg.dat
32,12.0,40.0,0.775509635,19.9,1,0.96,32,EAN12_40mg.dat,selected_for_ML\EAN12_40mg.dat
33,12.0,50.0,0.839174638,20.9,1,0.95,33,EAN12_50mg.dat,selected_for_ML\EAN12_50mg.dat
34,12.0,60.0,0.869906612,21.5,1,0.94,34,EAN12_60mg.dat,selected_for_ML\EAN12_60mg.dat
35,12.0,75.0,0.91265907,21.2,1,0.95,35,EAN12_75mg.dat,selected_for_ML\EAN12_75mg.dat
36,12.0,100.0,0.931577696,22.1,1,0.94,36,EAN12_100mg.dat,selected_for_ML\EAN12_100mg.dat
39,24.0,25.0,0.349118161,17.5,1,0.99,39,EAN24_25mgb.dat,selected_for_ML\EAN24_25mgb.dat
40,24.0,37.5,0.784011351,18.0,1,0.99,40,EAN24_37.5mg.dat,selected_for_ML\EAN24_37.5mg.dat
43,24.0,60.0,0.369227359,18.0,1,0.99,43,EAN24_60mg.dat,selected_for_ML\EAN24_60mg.dat
48,30.0,25.0,0.745319278,18.0,1,0.99,48,EAN30_25mgb.dat,selected_for_ML\EAN30_25mgb.dat
49,30.0,37.5,0.87437067,19.7,1,0.97,49,EAN30_37.5mg.dat,selected_for_ML\EAN30_37.5mg.dat
50,30.0,40.0,0.726403236,18.0,1,0.99,50,EAN30_40mg.dat,selected_for_ML\EAN30_40mg.dat
51,30.0,50.0,0.592693574,18.5,1,0.99,51,EAN30_50mg.dat,selected_for_ML\EAN30_50mg.dat
52,30.0,60.0,0.391570237,18.4,1,0.99,52,EAN30_60mg.dat,selected_for_ML\EAN30_60mg.dat
53,30.0,75.0,0.373483971,18.6,1,0.99,53,EAN30_75mg.dat,selected_for_ML\EAN30_75mg.dat

