Model,R2_Mean,R2_Std,Target
Random Forest,0.8312544994620895,0.018715424922665386,Rg
XGBoost,0.8066788237819769,0.08414667894726303,Rg
AdaBoost,0.8033247842224386,0.04328170178048995,Rg
GBM,0.74121053162766,0.06739733122250695,Rg
Decision Tree,0.6547549826626362,0.09898089570839767,Rg
Neural Network,0.6459184100523933,0.11317684255028847,Rg
SVM,0.5765067267198483,0.14055816361948245,Rg
Linear Regression,0.16983900425227594,0.1318134023059823,Rg
Random Forest,0.8537944822166835,0.028417241529012982,CI
GBM,0.8317930057619117,0.04819031763692723,CI
XGBoost,0.8248813781452394,0.025708427698707743,CI
Decision Tree,0.7586977633263826,0.15412881762952782,CI
AdaBoost,0.7216814079178236,0.17365193431601025,CI
Neural Network,0.31212008763874605,0.19623724738322385,CI
SVM,0.2614661834761409,0.201031494511761,CI
Linear Regression,0.1897543106083946,0.11419350677498649,CI
